"regEco","regFor","prob"
"1a","07",0.487704918032787
"1a","06",0.504098360655738
"1a","04",0.00819672131147541
"2a","07",0.922043010752688
"2a","06",0.0779569892473118
"2b","01",0.0129032258064516
"2b","03",0.241935483870968
"2b","04",0.703225806451613
"2b","06",0.0419354838709677
"2c","04",0.15625
"2c","06",0.1796875
"2c","03",0.6640625
"3a","07",0.571428571428571
"3a","08",0.428571428571429
"3b","07",0.313932980599647
"3b","06",0.686067019400353
"3c","04",0.461744966442953
"3c","03",0.0630872483221477
"3c","06",0.475167785234899
"3d","04",0.0272373540856031
"3d","05",0.00389105058365759
"3d","03",0.968871595330739
"4a","08",1
"4b","07",0.570938215102975
"4b","08",0.262013729977117
"4b","06",0.167048054919908
"4c","07",0.0534262485481998
"4c","06",0.263646922183508
"4c","04",0.614401858304297
"4c","02",0.00696864111498258
"4c","03",0.0615563298490128
"4d","09",0.175
"4d","02",0.0541666666666667
"4d","03",0.770833333333333
"4e","02",1
"4f","01",0.955947136563877
"4f","03",0.0440528634361234
"4g","01",1
"4h","01",1
"5a","08",1
"5b","08",0.579268292682927
"5b","04",0.201219512195122
"5b","02",0.0426829268292683
"5b","07",0.176829268292683
"5c","04",0.687878787878788
"5c","02",0.221212121212121
"5c","06",0.0909090909090909
"5d","02",0.982608695652174
"5d","03",0.0173913043478261
"5e","03",0.936065573770492
"5e","02",0.0639344262295082
"5f","09",0.819444444444444
"5f","02",0.180555555555556
"5g","09",1
"5h","01",1
"5i","01",1
"5j","09",1
"6a","08",1
"6b","08",1
"6c","08",0.393939393939394
"6c","02",0.606060606060606
"6d","08",0.137096774193548
"6d","02",0.862903225806452
"6e","04",0.0952380952380952
"6e","02",0.904761904761905
"6f","02",1
"6g","09",0.00763358778625954
"6g","02",0.99236641221374
"6h","09",0.218181818181818
"6h","02",0.781818181818182
"6i","09",0.727272727272727
"6i","02",0.272727272727273
"6j","09",1
"6k","09",0.869158878504673
"6k","02",0.130841121495327
"6l","09",1
"6m","09",1
"6n","09",1
"6o","09",1
"6p","09",1
"6q","09",0.63265306122449
"6q","02",0.36734693877551
"6r","09",1
